LatitudeDD,LatitudeCD,LongitudeDD,LongitudeCD,TimeGMT,Orbit
19.3,S,178.6,W,12:01:23,1
30.5,S,168.1,W,12:05:19,1
43.4,S,148.9,W,12:10:41,1
50.2,S,127.0,W,12:15:06,1
51.1,S,97.5,W,12:20:07,1
44.5,S,71.5,W,12:25:08,1
31.8,S,51.4,W,12:30:34,1
18.8,S,38.9,W,12:35:10,1
3.7,S,27.5,W,12:40:10,1
11.2,N,16.8,W,12:45:06,1
26.2,N,4.2,W,12:50:13,1
39.3,N,11.7,E,12:55:14,1
48.5,N,33.4,E,13:00:05,1
51.7,N,62.7,E,13:05:11,1
46.4,N,91.7,E,13:10:28,1
36.2,N,111.2,E,13:15:13,1
22.1,N,126.4,E,13:20:24,1
8.4,N,137.2,E,13:25:00,1
8.0,S,149.0,E,13:30:26,1
21.7,S,159.7,E,13:35:01,1
42.5,S,174.4,W,13:43:04,2
46.7,S,164.2,W,13:45:19,2
51.7,S,137.1,W,13:50:15,2
49.2,S,109.5,W,13:55:00,2
40.1,S,86.5,W,14:00:01,2
27.1,S,69.9,W,14:05:07,2
12.7,S,57.6,W,14:10:03,2
3.8,N,45.8,W,14:15:29,2
17.9,N,35.2,W,14:20:09,2
32.1,N,21.6,W,14:25:11,2
43.9,N,3.1,W,14:30:11,2
51.1,N,23.9,E,14:35:27,2
50.5,N,52.1,E,14:40:13,2
43.0,N,76.2,E,14:45:04,2
30.3,N,94.9,E,14:50:19,2
15.7,N,108.2,E,14:55:25,2
1.2,N,118.8,E,15:00:11,2
13.9,S,129.8,E,15:05:12,2
29.1,S,143.2,E,15:10:27,2
40.9,S,159.0,E,15:15:08,2
